community,Incentive Amount,Total Cost,Ratio
WEST TOWN,120406.63,160542.17,0.7500000155722325
DUNNING,6696.94,10150,0.6597970443349753
NEAR WEST SIDE,5634,11268,0.5
AVONDALE,100000,135000,0.7407407407407407
NORTH PARK,18420,24560,0.75
MCKINLEY PARK,119014.5,164000,0.7256981707317073
NORTH CENTER,35306.25,47075,0.75
AVONDALE,11000,22000,0.5
WOODLAWN,15399.38,20532.5,0.7500002435163764
HUMBOLDT PARK,51000,102000,0.5
NORTH LAWNDALE,50000,103000,0.4854368932038835
SOUTH CHICAGO,150000,273076,0.5492976314286133
NEAR WEST SIDE,112750,225500,0.5
NEAR WEST SIDE,50565.55,67420.73,0.7500000370805835
NORTH LAWNDALE,32495,64990,0.5
WEST RIDGE,123750,165000,0.75
EAST GARFIELD PARK,115956.63,231913.26,0.5
NORTH CENTER,100000,134400,0.7440476190476191
CALUMET HEIGHTS,86348.12,172696.23,0.5000000289525718
NEAR NORTH SIDE,41511.25,84100,0.4935939357907253
MOUNT GREENWOOD,29625,39500,0.75
NORTH CENTER,39328.5,78657,0.5
WEST RIDGE,52185,69580,0.75
HUMBOLDT PARK,100000,135300,0.7390983000739099
NORTH PARK,50000,70471.58,0.7095058745667402
WEST TOWN,12000,24000,0.5
LOWER WEST SIDE,100000,322273.26,0.3102956788906408
BELMONT CRAGIN,92579.5,185159,0.5
PORTAGE PARK,27283.5,30315,0.9
EAST GARFIELD PARK,86841.7,191838,0.4526824716688039
LAKE VIEW,8934.55,11912.73,0.7500002098595367
PORTAGE PARK,37500,57000,0.6578947368421053
BELMONT CRAGIN,74319,148638,0.5
BRIDGEPORT,18603.19,24804.25,0.7500001007891792
EAST GARFIELD PARK,2675,5350,0.5
NEAR WEST SIDE,53334.13,106668.25,0.5000000468743042
UPTOWN,42500,85000,0.5
WEST TOWN,36941.25,49255,0.75
EAST SIDE,58946.25,86249,0.6834427065821053
HUMBOLDT PARK,66305.03,96813.42,0.6848743696896566
NORTH LAWNDALE,82828.09,165656.17,0.5000000301829989
LOWER WEST SIDE,100000,144113.75,0.6938963145431993
HERMOSA,65618.63,131237.25,0.5000000380989392
CLEARING,32222.85,69669.24,0.4625118631981632
EAST GARFIELD PARK,100000,199771.64,0.5005715525987572
HERMOSA,10180.5,20361,0.5
LOWER WEST SIDE,150000,302231.18,0.4963088189643438
EDGEWATER,3350,6700,0.5
AUSTIN,37754.09,50338.79,0.7499999503365098
SOUTH CHICAGO,90757.5,121010,0.75
LOGAN SQUARE,50000,110772,0.45137760444877767
EDGEWATER,50000,91046.47,0.5491701106039586
PORTAGE PARK,28814.29,48500,0.5941090721649485
NEW CITY,36910,73820,0.5
HYDE PARK,121684,162245.34,0.7499999691824739
EDGEWATER,16212.11,21616.15,0.7499998843457322
NEAR WEST SIDE,8198,18280,0.4484682713347921
WEST LAWN,9265,19980,0.4637137137137137
JEFFERSON PARK,50000,100000,0.5
BEVERLY,119584.53,132871.7,0.8999999999999999
NEAR WEST SIDE,43641.03,99019,0.44073389955463094
ALBANY PARK,5314.5,11293.55,0.47057833896339063
DUNNING,81184.69,108246.25,0.7500000230954883
NEAR WEST SIDE,100000,137091.97,0.7294373259061052
LOGAN SQUARE,50000,130000,0.38461538461538464
BRIDGEPORT,34593.75,46125,0.75
NORTH PARK,17945,35890,0.5
WEST GARFIELD PARK,50000,100000,0.5
BELMONT CRAGIN,11579.56,23159.11,0.5000002158977611
BELMONT CRAGIN,6750,9000,0.75
ASHBURN,10895.65,14527.53,0.7500001720870649
AUSTIN,34767,69534,0.5
ALBANY PARK,2650,5300,0.5
PORTAGE PARK,100000,141957.9,0.7044342019711478
AUSTIN,150000,540531.53,0.27750462586336083
BELMONT CRAGIN,150075,300150,0.5
HERMOSA,128738.5,272320,0.4727471357226792
AUSTIN,31783.5,42378,0.75
MOUNT GREENWOOD,1267.48,2479.95,0.5110909494143028
NEAR NORTH SIDE,50000,91348.39,0.5473550218016979
PORTAGE PARK,50000,264783.5,0.1888335187049042
NORTH PARK,120369.44,382484.97,0.31470371240992817
LOWER WEST SIDE,106617.5,217258.26,0.4907408353542001
DOUGLAS,100000,145445,0.6875451201485098
LOGAN SQUARE,149999.98,301247.26,0.4979297737015102
NORTH CENTER,84397.5,153450,0.55
NEAR WEST SIDE,103785,138380,0.75
ALBANY PARK,25490,52025,0.48995675156174917
WEST TOWN,50000,70000,0.7142857142857143
NORTH PARK,96168.75,130225,0.7384814743712804
HYDE PARK,2788.15,5576.29,0.5000008966535098
MCKINLEY PARK,50000,321850,0.15535187199005748
UPTOWN,50000,66720,0.749400479616307
EDGEWATER,36750,49000,0.75
WEST RIDGE,74695.9,149391.8,0.5
WEST ELSDON,57853.95,115707.9,0.5
CLEARING,78941.8,105255.73,0.7500000237516761
GREATER GRAND CROSSING,100000,1114650,0.08971426008163998
LINCOLN SQUARE,50000,104065,0.4804689376831788
ALBANY PARK,25419,33892,0.75
LINCOLN SQUARE,6997.5,9330,0.75
WOODLAWN,100000,245565.57,0.40722321129953193
HERMOSA,40800,54400,0.75
WEST TOWN,12700,25400,0.5
NEAR WEST SIDE,50000,101842.98,0.49095185549362363
NEAR WEST SIDE,100000,134848.8,0.7415713005974099
PORTAGE PARK,100000,203080,0.4924167815639157
PORTAGE PARK,8325,11100,0.75
GARFIELD RIDGE,29025,38750,0.7490322580645161
HUMBOLDT PARK,124872.5,249745,0.5
LINCOLN SQUARE,100000,191634.02,0.5218280136272255
NEAR NORTH SIDE,93000,200000,0.465
WEST TOWN,41177.52,54903.36,0.7499999999999999
GRAND BOULEVARD,22905.01,30540.01,0.7500000818598291
NEAR NORTH SIDE,150000,239678.97,0.625837135398237
WEST TOWN,98109.27,130812.36,0.75
WEST LAWN,6559.6,16580.78,0.39561468157710317
LOGAN SQUARE,26093.63,34791.5,0.7500001437132633
ROGERS PARK,35000,62000,0.5645161290322581
WOODLAWN,117072.04,156096.05,0.75000001601578
UPTOWN,9186.22,18372.44,0.5
GRAND BOULEVARD,100000,151542,0.6598830687202227
MOUNT GREENWOOD,41528.51,55371.35,0.7499999548502971
AUSTIN,250000,551862,0.45301180367555655
WEST PULLMAN,111438.23,138600,0.8040276334776334
WEST TOWN,150000,225000,0.6666666666666666
NEAR WEST SIDE,50000,67614.25,0.7394890869897988
CHATHAM,150000,210650,0.7120816520294327
AUSTIN,5397.49,10794.97,0.5000004631786842
NEAR WEST SIDE,70870,141740,0.5
DUNNING,10879.5,24289,0.44791881098439623
WEST GARFIELD PARK,67604.42,90139.22,0.75000005546975
NORTH LAWNDALE,186126.75,372253.49,0.5000000134317075
ALBANY PARK,3850,7700,0.5
NEAR WEST SIDE,1372.5,2745,0.5
LOGAN SQUARE,14212.5,18950,0.75
JEFFERSON PARK,65370.15,134626.45,0.48556691497101795
HYDE PARK,143427.79,286855.57,0.5000000174303745
NEAR WEST SIDE,48017,125000,0.384136
NORTH LAWNDALE,64185.25,128370.52,0.4999999221004947
EDGEWATER,78602.19,104802.92,0.75
LINCOLN SQUARE,16553.25,22071,0.75
BRIDGEPORT,15720.34,17467.04,0.9000002290027388
NEAR WEST SIDE,14922.5,29845,0.5
ROSELAND,73640.84,147281.68,0.5
NORTH PARK,150000,320170,0.46850110878595747
