community,Incentive Amount,Total Cost,Ratio
AUSTIN,10826.22,21652.44,0.5
AUSTIN,100000,136263.94,0.733869870488113
GRAND BOULEVARD,137860.28,287671.9,0.4792274810296035
ASHBURN,75001.2,102025.82,0.7351197961457206
AUSTIN,92751.66,506756.61,0.18302999540548667
NORTH LAWNDALE,33632.2,67264.4,0.5
AUSTIN,37771.25,76354,0.494685936558661
WEST RIDGE,100000,151992,0.6579293647034055
WASHINGTON PARK,21123.75,28165,0.75
AUSTIN,100000,159103.28,0.6285225546575784
HUMBOLDT PARK,104354.5,208709,0.5
LINCOLN SQUARE,87789,175578,0.5
WEST GARFIELD PARK,150000.5,350460,0.4280103292815157
NEW CITY,1241.25,4965,0.25
JEFFERSON PARK,50000,219109.5,0.22819640408106448
WOODLAWN,12735,16980,0.75
SOUTH SHORE,100000,175359.84,0.5702559947591194
ENGLEWOOD,75000,96000,0.78125
ASHBURN,27150,36200,0.75
NORTH PARK,12326,24652,0.5
JEFFERSON PARK,54577.8,72770.4,0.7500000000000001
LINCOLN PARK,40062.5,56500,0.709070796460177
HERMOSA,50025,69940,0.7152559336574207
AVONDALE,149999.99,236680,0.6337670694608754
BURNSIDE,54342.5,108685,0.5
NORTH CENTER,44400,59200,0.75
EAST GARFIELD PARK,81908.26,109210.31,0.750004830130049
NORTH LAWNDALE,9500,36200,0.26243093922651933
NORTH LAWNDALE,95003.48,126671.31,0.7499999802638814
NEAR WEST SIDE,20540,41080,0.5
NEAR WEST SIDE,59341.39,122519.78,0.48434130391027475
BRIDGEPORT,112387.05,224078.72,0.5015516422085953
PORTAGE PARK,38126.01,50984.68,0.7477934548181925
HUMBOLDT PARK,25251.16,58586,0.43101013894104395
GREATER GRAND CROSSING,12609,16812,0.75
CLEARING,22008.25,44016.5,0.5
ALBANY PARK,82025,164050,0.5
UPTOWN,131625,175500,0.75
NEAR WEST SIDE,97533.32,201855.63,0.4831835505405522
MOUNT GREENWOOD,50000,200000,0.25
SOUTH LAWNDALE,97211.5,194423,0.5
SOUTH CHICAGO,89909.17,119878.89,0.7500000208543806
JEFFERSON PARK,12650,25300,0.5
HUMBOLDT PARK,92079.32,122772.53,0.7499993687512997
NORTH CENTER,100000,141205,0.7081902198930633
HUMBOLDT PARK,150000,357089,0.4200633455525093
EDGEWATER,50000,98132.17,0.5095169096943438
WEST GARFIELD PARK,24500,49000,0.5
NEAR WEST SIDE,23362.73,44036,0.5305370605867926
NEW CITY,3373.62,9619.75,0.35069726344239716
NEAR WEST SIDE,100000,1368030,0.07309781218248138
ROGERS PARK,42322,84644,0.5
NEAR WEST SIDE,39000,78000,0.5
AUSTIN,11840,23680,0.5
LINCOLN SQUARE,23133,34146.86,0.6774561409160315
GRAND BOULEVARD,20411.25,40822.5,0.5
BRIGHTON PARK,168663.5,337327,0.5
BELMONT CRAGIN,44175,58900,0.75
HERMOSA,20215.5,40431,0.5
ALBANY PARK,78750,105000,0.75
NORTH CENTER,150000,407973.4,0.3676710295328078
NEW CITY,120107.5,240215,0.5
ARCHER HEIGHTS,104374.5,208749,0.5
UPTOWN,50000,77550,0.6447453255963894
ROGERS PARK,13083.81,17445.08,0.7499999999999999
UPTOWN,34726.06,68000,0.5106773529411764
DUNNING,100000,134150,0.7454342154304883
HUMBOLDT PARK,60300,67000,0.9
JEFFERSON PARK,36180.5,72361,0.5
NEAR WEST SIDE,44117.5,84960,0.5192737758945386
NEAR WEST SIDE,147645,295290,0.5
NORTH CENTER,7017.03,14034.06,0.5
NEAR WEST SIDE,70235,143715,0.4887102946804439
NEAR WEST SIDE,100000,232890.96,0.4293854943961758
NORTH PARK,34960,69920,0.5
WEST RIDGE,66160.88,88214.5,0.7500000566800243
HUMBOLDT PARK,150000,444760,0.33726054501304076
MOUNT GREENWOOD,45496.44,97974.19,0.464371688094589
NEW CITY,250000,527890.82,0.4735827760747952
ARCHER HEIGHTS,150000,226035.17,0.6636135429720958
BELMONT CRAGIN,16065,17850,0.9
PORTAGE PARK,52780.23,70373.64,0.75
NORTH PARK,10518.72,19124.95,0.549999869280704
CLEARING,38587.5,51450,0.75
WEST TOWN,33467.25,79134.5,0.42291604799423765
LOGAN SQUARE,98694,131592,0.75
EDGEWATER,50000,81000,0.6172839506172839
AVONDALE,57806.25,77075,0.75
BELMONT CRAGIN,94500,129166.15,0.7316158296891252
PORTAGE PARK,25800,51600,0.5
NEW CITY,22500,30000,0.75
ROSELAND,149737.5,181725,0.8239785390012382
PORTAGE PARK,11805.75,18836,0.6267652367806328
HUMBOLDT PARK,100000,238757,0.4188358875341875
EDGEWATER,100000,238746.52,0.418854272724059
LOGAN SQUARE,75000,90714.2,0.8267724347456077
NEAR WEST SIDE,47700,95400,0.5
WEST PULLMAN,72930,158606,0.4598186701638021
LINCOLN SQUARE,35640,47735.96,0.7466069604549694
NORTH CENTER,21400.81,28534.41,0.7500000876135166
NORTH LAWNDALE,69447.38,92596.5,0.7500000539977213
UPTOWN,17790.3,24874,0.7152166921283267
AVONDALE,150000,205000,0.7317073170731707
LOGAN SQUARE,14500,23200,0.625
BELMONT CRAGIN,150000,201638.45,0.7439057382160991
AUSTIN,50000,102000,0.49019607843137253
NORTH CENTER,100000,200000,0.5
JEFFERSON PARK,19685.62,21872.91,0.9000000457186538
UPTOWN,50000,79333,0.6302547489695335
SOUTH CHICAGO,91875,122500,0.75
PORTAGE PARK,84150,121280.53,0.693845912447777
NORTH CENTER,100000,144817.52,0.690524185195272
JEFFERSON PARK,38542.5,42825,0.9
NEAR WEST SIDE,50000,75345,0.6636140420731302
NEAR WEST SIDE,57556.5,115113,0.5
MOUNT GREENWOOD,38976.62,53803.79,0.7244214580422681
BELMONT CRAGIN,50000,111005,0.4504301608035674
ROGERS PARK,8580,11440,0.75
EAST GARFIELD PARK,145591.24,293128.73,0.4966802128198079
GARFIELD RIDGE,100000,157600,0.6345177664974619
NORTH PARK,150000,309688,0.4843584510862545
PORTAGE PARK,7912.5,10550,0.75
PORTAGE PARK,8125.68,16328.15,0.4976485394854898
SOUTH SHORE,81482.37,126576.5,0.6437401097360094
NEW CITY,150000,207950,0.7213272421255109
NEAR WEST SIDE,47868.75,63825,0.75
UPTOWN,20962.5,27950,0.75
AUSTIN,46425.72,92851.43,0.5000000538494669
WEST TOWN,1312.5,1750,0.75
LOGAN SQUARE,96825.44,205090,0.472111950850846
NEAR WEST SIDE,100000,140600,0.7112375533428165
LOGAN SQUARE,150000,201288.5,0.7451990550875981
BEVERLY,79175.25,105596,0.7497940262888746
EDGEWATER,75000,96133.98,0.7801611875426359
GARFIELD RIDGE,100000,207500,0.4819277108433735
NORTH CENTER,100000,181082,0.5522360035784893
NEAR WEST SIDE,115288.5,230577,0.5
WEST ELSDON,50000,70831.53,0.705900324332963
UPTOWN,50000,100000,0.5
PORTAGE PARK,50000,79102.81,0.632088796845523
AUSTIN,4197.03,8394.06,0.5
NEW CITY,100514.6,201029.2,0.5
NEW CITY,40271.59,80543.18,0.5
WEST RIDGE,87121.36,96801.51,0.9000000103304174
NEW CITY,41571.46,55428.61,0.7500000451030614
LINCOLN SQUARE,50000,105820,0.4725004725004725
ALBANY PARK,100000,134100,0.7457121551081283
NEAR WEST SIDE,50000,350000,0.14285714285714285
BEVERLY,12285.32,24570.63,0.5000002034949856
ALBANY PARK,42476.25,56635,0.75
DOUGLAS,93868.5,125158,0.75
EDGEWATER,134331.83,265000,0.5069125660377358
EDGEWATER,25984.75,51969.5,0.5
MOUNT GREENWOOD,9243.75,12325,0.75
NORTH LAWNDALE,150000,335202.6,0.4474905624240385
JEFFERSON PARK,9444.67,18889.34,0.5
NEAR WEST SIDE,50000,105642.23,0.47329557507447545
WEST GARFIELD PARK,150000,373039.16,0.40210255673961953
ALBANY PARK,50000,70700,0.7072135785007072
ALBANY PARK,81535,163070,0.5
NEAR WEST SIDE,3310,6620,0.5
WASHINGTON PARK,16720,25497,0.6557634231478213
NORTH CENTER,20987.5,41975,0.5
IRVING PARK,100000,189645.68,0.5272991190729998
NEAR SOUTH SIDE,4575,9150,0.5
UPTOWN,72233.1,80259,0.9
WEST TOWN,50000,67796.35,0.7375028301671107
AUSTIN,29656.5,59313,0.5
EDGEWATER,106655.25,142207,0.75
WEST TOWN,19850,39700,0.5
EAST GARFIELD PARK,50000,100000,0.5
BRIDGEPORT,150000,174000,0.8620689655172413
BEVERLY,100000,145478.27,0.6873878827401508
PORTAGE PARK,6825,13650,0.5
EDGEWATER,7126.5,14253,0.5
BELMONT CRAGIN,30000,60000,0.5
WEST RIDGE,7464.82,14929.63,0.5000003349044819
LOGAN SQUARE,22778.25,31010,0.7345453079651725
PORTAGE PARK,50070.49,55633.88,0.8999999640506828
HUMBOLDT PARK,30342.5,60685,0.5
PORTAGE PARK,50000,71640,0.6979341150195422
IRVING PARK,16125,66500,0.2424812030075188
ASHBURN,12850.5,17134,0.75
PORTAGE PARK,63653.92,130446.78,0.48796850332373093
AUSTIN,43962.5,87925,0.5
LOWER WEST SIDE,22852.5,30596.45,0.7469003756971805
NEAR WEST SIDE,50000,115196,0.43404284871002463
PORTAGE PARK,25479.14,44757.18,0.5692749185717241
HERMOSA,38013.58,76027.15,0.5000000657659797
UPTOWN,150000,1336124.16,0.112265015850024
ALBANY PARK,12390,16520,0.75
ROSELAND,97475,194950,0.5
GRAND BOULEVARD,121790.27,166887.03,0.7297767238113112
UPTOWN,150000,203350,0.7376444553725104
PORTAGE PARK,54000,60000,0.9
HUMBOLDT PARK,50000,100000,0.5
NEAR WEST SIDE,30177.12,60354.23,0.5000000828442347
EDGEWATER,39269.06,52358.74,0.7500000954950405
DUNNING,100000,134000,0.746268656716418
AVALON PARK,46903.76,93807.51,0.5000000533006367
HYDE PARK,28470,54000,0.5272222222222223
WEST TOWN,41122.07,54829.43,0.7499999544040491
LOGAN SQUARE,43892.48,62578.17,0.7014024219628028
EDGEWATER,80718.75,118375,0.6818901795142556
CLEARING,14454,19475,0.7421822849807446
NEAR WEST SIDE,23210,47500,0.4886315789473684
WEST PULLMAN,50000,195875.59,0.2552640683813639
WEST TOWN,30942.13,56500,0.5476483185840708
AUSTIN,80729.24,107638.99,0.7499999767742154
MOUNT GREENWOOD,18234,36468,0.5
NORTH PARK,13922.99,57605.03,0.24169746982164578
NEAR SOUTH SIDE,49900,99800,0.5
BRIDGEPORT,31061.95,62123.9,0.5
PORTAGE PARK,27500,79196,0.34723975958381736
BELMONT CRAGIN,50544,56160,0.9
SOUTH CHICAGO,81900,109200,0.75
WEST TOWN,5908.5,11417,0.5175177367084173
AUSTIN,125564,251780.67,0.4987038917642089
HUMBOLDT PARK,52484.38,104968.75,0.5000000476332241
PORTAGE PARK,50000,110450,0.4526935264825713
ROSELAND,56250,62500,0.9
ALBANY PARK,29393.65,58787.3,0.5
UPTOWN,48089,64977,0.7400926481678132
LOGAN SQUARE,80784,108883.4,0.7419312769439603
CHATHAM,48855,65140,0.75
WEST TOWN,84073,179021,0.46962646840314826
EDGEWATER,50000,144900,0.3450655624568668
WEST TOWN,150000,610600,0.2456600065509335
EDGEWATER,72370.73,144741.45,0.5000000345443547
NEAR WEST SIDE,38936,77872,0.5
WEST LAWN,89122,182850,0.4874049767569046
IRVING PARK,31373.8,62747.6,0.5
JEFFERSON PARK,17250,23000,0.75
BRIDGEPORT,103598.59,207658.42,0.49888942620289606
AUSTIN,14364,28728,0.5
UPTOWN,11241,14988,0.75
WEST GARFIELD PARK,13740,27480,0.5
NORTH LAWNDALE,48135,64180,0.75
IRVING PARK,80367.75,107157,0.75
EDGEWATER,143550,194735.25,0.7371546753861974
ALBANY PARK,150000,319800,0.46904315196998125
NEW CITY,24407.02,32542.69,0.7500000768221681
JEFFERSON PARK,22657.56,46311.5,0.48924262872072816
FOREST GLEN,35126.54,46835.38,0.7500001067569005
LOGAN SQUARE,6317.5,12810,0.4931693989071038
PORTAGE PARK,150000,167001,0.8981982143819498
LINCOLN SQUARE,50000,354869.55,0.14089684505193528
WEST RIDGE,6263.32,25053.28,0.25
EDGEWATER,150000,213116,0.70384203907731
GARFIELD RIDGE,67852.95,91742,0.739606178195374
LOWER WEST SIDE,46530,94289,0.4934828028720211
AVONDALE,50000,100000,0.5
HYDE PARK,89945.63,123805.8,0.7265057856740152
UPTOWN,150000,182207.7,0.8232363396277983
PORTAGE PARK,61426.86,81902.48,0.75
NORTH CENTER,57246,76328,0.75
EAST SIDE,1800,2400,0.75
PORTAGE PARK,19968.5,39937,0.5
GARFIELD RIDGE,150000,394569,0.3801616447313398
NEAR WEST SIDE,2350,4700,0.5
WEST RIDGE,150000,359692,0.41702345339901914
HERMOSA,6043.45,12086.9,0.5
NORTH LAWNDALE,100000,200000,0.5
ALBANY PARK,26606.57,82810,0.32129658253834076
NORTH CENTER,17196.3,24310,0.7073755656108597
BURNSIDE,4462.5,8925,0.5
NEAR WEST SIDE,125000,250000,0.5
ALBANY PARK,44980,122800,0.36628664495114005
LOWER WEST SIDE,63375,84500,0.75
UPTOWN,150000,300533.6,0.4991122456856738
BRIDGEPORT,97644.23,131252.39,0.7439424912567305
WEST RIDGE,15500,31000,0.5
ROSELAND,24562.5,32750,0.75
ALBANY PARK,7084.59,25000,0.2833836
BELMONT CRAGIN,10951.5,14602,0.75
NORTH LAWNDALE,50000,100000,0.5
EDGEWATER,44060.2,88120.4,0.5
DUNNING,100000,134791,0.7418892952793584
LOGAN SQUARE,36133,72267,0.499993081212725
IRVING PARK,100000,152657,0.6550633118690922
NORTH LAWNDALE,94881.5,189763,0.5
AUSTIN,58901.8,78535.73,0.750000031832645
NORTH LAWNDALE,46759.35,97083,0.4816430271005222
IRVING PARK,37028,94500,0.3918306878306878
UPTOWN,37413.75,49885,0.75
AVONDALE,150000,1441951.5,0.10402569018444795
SOUTH SHORE,94712.25,126758,0.7471895264993137
NEAR WEST SIDE,50000,125000,0.4
AUSTIN,142901.79,296028.57,0.48272972436410444
NEW CITY,119808.15,265682.5,0.4509448307660459
KENWOOD,39060,52080,0.75
AVALON PARK,17737.5,23650,0.75
NORTH LAWNDALE,6440,12880,0.5
BEVERLY,57854.71,78347.4,0.7384381613174146
AUSTIN,30937.5,41250,0.75
CLEARING,73600,147200,0.5
WEST RIDGE,123300,350000,0.3522857142857143
PORTAGE PARK,136000,309500,0.4394184168012924
WEST TOWN,21961.58,43923.16,0.5
AVONDALE,150000,664915.9,0.22559243958521671
NEAR WEST SIDE,50000,250000,0.2
NORTH PARK,49536,99072,0.5
NORTH LAWNDALE,89250,119000,0.75
NEW CITY,83638,192228,0.4350979045716545
BRIDGEPORT,100000,145050,0.6894174422612892
BELMONT CRAGIN,41242.5,82485,0.5
HYDE PARK,6425,12850,0.5
LOGAN SQUARE,96000,128000,0.75
BURNSIDE,86803.75,210457,0.4124536128520315
HUMBOLDT PARK,44665.89,89331.77,0.5000000559711287
AVALON PARK,49500,66000,0.75
WEST LAWN,97396.69,129862.25,0.7500000192511681
WEST TOWN,50000,96403,0.5186560584214184
NEAR WEST SIDE,15475,30950,0.5
WEST TOWN,13764,27528,0.5
WEST LAWN,12187.5,16250,0.75
EAST GARFIELD PARK,50000,100283,0.49858899314938726
NEAR WEST SIDE,30212.5,60425,0.5
PORTAGE PARK,12271.5,24543,0.5
WEST GARFIELD PARK,12825,17100,0.75
BELMONT CRAGIN,37866.42,75732.84,0.5
CALUMET HEIGHTS,110410.91,147214.54,0.7500000339640364
AUSTIN,50000,105550,0.4737091425864519
PORTAGE PARK,53350,106700,0.5
NORTH CENTER,12577.5,16770,0.75
SOUTH LAWNDALE,100000,137755,0.7259264636492323
NORTH PARK,150000,211850.25,0.7080473117213693
BELMONT CRAGIN,142989.15,274083.57,0.5216990934553282
HUMBOLDT PARK,60000,80000,0.75
EDGEWATER,69300,154450,0.4486888960828747
NEAR WEST SIDE,41802,83604,0.5
CLEARING,20737.5,27650,0.75
NORTH CENTER,13456.94,173596,0.07751872162953063
EDGEWATER,98931.08,132365.1,0.7474106089898319
PORTAGE PARK,6540,10900,0.6
HUMBOLDT PARK,79794,165475,0.48221181447348543
AUBURN GRESHAM,150000,204000,0.7352941176470589
CALUMET HEIGHTS,149850,199800,0.75
SOUTH CHICAGO,60000,95000,0.631578947368421
NEAR WEST SIDE,150000,304247,0.49302047349686273
ASHBURN,100000,137805.1,0.7256625480479314
AVONDALE,113653.5,227307,0.5
NEW CITY,54175,108350,0.5
MORGAN PARK,50000,161070,0.31042403923759854
LINCOLN SQUARE,149999,380000,0.3947342105263158
LOGAN SQUARE,18920.21,37840.41,0.5000001321338748
DUNNING,100000,146974.84,0.6803885617429487
MCKINLEY PARK,150000,303738.21,0.4938463290476361
ALBANY PARK,44685.5,89371,0.5
HUMBOLDT PARK,100000,214370,0.4664831832812427
JEFFERSON PARK,100000,198760,0.5031193399074261
GREATER GRAND CROSSING,54534.98,81963,0.6653609555531155
ROSELAND,75000,111896,0.6702652463001358
MCKINLEY PARK,57139.5,119003.03,0.48015163983639747
WEST TOWN,28908.8,57817.6,0.5
ROGERS PARK,63150,176000,0.3588068181818182
PORTAGE PARK,150000,230000,0.6521739130434783
WEST GARFIELD PARK,46500,62000,0.75
BRIDGEPORT,59958.5,119917,0.5
BELMONT CRAGIN,52485,104970,0.5
NEAR WEST SIDE,49181.8,102642.16,0.4791578821022473
LINCOLN SQUARE,100000,152920,0.6539366989275438
LOGAN SQUARE,75000,103800,0.7225433526011561
MORGAN PARK,87975,155000,0.5675806451612904
GRAND BOULEVARD,150000,207600,0.7225433526011561
HUMBOLDT PARK,51725,141204,0.36631398543950594
CLEARING,31036.37,41456.83,0.7486431065761661
LINCOLN SQUARE,19250,50245,0.38312269877599764
NEW CITY,42640,85280,0.5
EAST GARFIELD PARK,147325,205600,0.7165612840466926
JEFFERSON PARK,100000,160000,0.625
HERMOSA,40125,53500,0.75
ALBANY PARK,145517.01,194022.71,0.7499998840341938
MOUNT GREENWOOD,98584,154850,0.6366419115272844
ALBANY PARK,41113.64,82227.27,0.5000000608070777
WEST LAWN,50612.5,101225,0.5
NEAR WEST SIDE,39528.75,157340,0.25123140968603025
LINCOLN SQUARE,50000,700000,0.07142857142857142
AUBURN GRESHAM,100000,223052,0.44832595089934185
CLEARING,100000,308052.37,0.3246201287138288
PORTAGE PARK,10237.5,13650,0.75
WEST TOWN,957,2090,0.45789473684210524
UPTOWN,150000,515679,0.2908786279836875
PORTAGE PARK,100000,137303,0.7283162057638944
IRVING PARK,104003.25,138671,0.75
WEST RIDGE,38126.91,76253.82,0.5
UPTOWN,50000,569000,0.08787346221441125
PORTAGE PARK,100000,292980,0.3413202266366305
LOGAN SQUARE,50000,186000,0.26881720430107525
DUNNING,21354,28472,0.75
NEAR WEST SIDE,150000,315839,0.4749255158482645
LOGAN SQUARE,9937.5,13250,0.75
EDGEWATER,100000,221702.15,0.45105561673623823
AUSTIN,7657.5,10210,0.75
EAST GARFIELD PARK,70097.16,93462.88,0.75
LINCOLN SQUARE,5587.5,7450,0.75
NEAR WEST SIDE,150000,549526,0.2729625167871948
LOGAN SQUARE,144416.25,296551,0.48698621822216076
EAST GARFIELD PARK,150000,203473,0.7371985472273963
NEAR WEST SIDE,2042.88,4085.76,0.5
NORTH CENTER,16755,22340,0.75
MOUNT GREENWOOD,9750,13000,0.75
WEST LAWN,36820.71,69047,0.5332702362159109
AVALON PARK,44764.16,89528.32,0.5
WEST TOWN,44170.5,73394,0.6018271248330926
WEST GARFIELD PARK,116593.13,157283.75,0.7412916464669745
NEAR WEST SIDE,50000,150000,0.3333333333333333
PORTAGE PARK,13680,15200,0.9
MOUNT GREENWOOD,50000,766458.64,0.06523509213752225
WEST TOWN,29593.37,39700,0.7454249370277077
EAST GARFIELD PARK,39272,93210,0.4213281836712799
EAST GARFIELD PARK,87460.18,186000,0.4702160215053763
DUNNING,100000,139125,0.7187780772686433
EAST GARFIELD PARK,18852.9,34278,0.55
WEST PULLMAN,23670,31560,0.75
NEW CITY,35375,51257.62,0.6901412902120699
PORTAGE PARK,114271.58,168076.48,0.6798784696109771
PORTAGE PARK,50000,120000,0.4166666666666667
EDGEWATER,100000,133420,0.749512816669165
ALBANY PARK,119250,132500,0.9
UPTOWN,41241,54988,0.75
WEST TOWN,16734.18,33847.71,0.4943962235554488
NEAR WEST SIDE,150000,326716.33,0.4591138741060173
UPTOWN,92680.13,123573.5,0.7500000404617495
CALUMET HEIGHTS,10015,20030,0.5
PORTAGE PARK,16267.5,32535,0.5
LINCOLN SQUARE,23690.22,31586.96,0.7500000000000001
UPTOWN,94000,231169,0.4066289165069711
NORTH PARK,25103.1,58877,0.42636513409310933
WOODLAWN,100000,166930,0.5990534954771461
ROSELAND,39453.7,71734,0.5499999999999999
ASHBURN,20744.39,23049.32,0.9000000867704557
DUNNING,48130.5,75711,0.6357134366208345
AVONDALE,50000,94110,0.531293167569865
NORTH CENTER,330.5,661,0.5
BELMONT CRAGIN,18288,24384,0.75
ASHBURN,12763.8,14182,0.8999999999999999
LOGAN SQUARE,150000.01,307828.83,0.48728382588466457
AUSTIN,100000,142486.64,0.7018201846853852
NEAR WEST SIDE,150000,332629.27,0.45095249735538906
PORTAGE PARK,100000,137312,0.728268468888371
LINCOLN SQUARE,96910,202163.9,0.47936352632690604
ALBANY PARK,47067.5,100000,0.470675
ALBANY PARK,86900,188500,0.4610079575596817
WEST LAWN,100000,231885.1,0.431248062079021
ROSELAND,43750,99250,0.44080604534005036
HUMBOLDT PARK,64500,86000,0.75
PORTAGE PARK,16950,22600,0.75
PORTAGE PARK,100000,160350,0.6236357966947302
LINCOLN SQUARE,650,1300,0.5
PORTAGE PARK,50000,117840,0.4243041412084182
AUSTIN,33625,67250,0.5
AVONDALE,64981.13,118982,0.546142525760199
HERMOSA,32090,64180,0.5
AVALON PARK,18850,37700,0.5
JEFFERSON PARK,135682.46,394776.83,0.3436940815396891
PORTAGE PARK,29743.78,39658.37,0.7500000630383951
CALUMET HEIGHTS,25894,51788,0.5
ENGLEWOOD,75000,126039.33,0.5950523538962005
MOUNT GREENWOOD,31950,35500,0.9
PORTAGE PARK,11172,14896,0.75
NORTH LAWNDALE,150000,345008.1,0.4347724009958027
DOUGLAS,48217.69,67706.68,0.7121555805128831
NORTH CENTER,50000,67900,0.7363770250368189
EDGEWATER,47490,63320,0.75
PORTAGE PARK,150000,343472.18,0.4367165923015949
SOUTH LAWNDALE,8705,17410,0.5
PORTAGE PARK,76237.5,101650,0.75
BRIDGEPORT,150000,310000,0.4838709677419355
ALBANY PARK,35676,0,NA
EDGEWATER,85919.25,128809,0.6670283132389817
EDGEWATER,78192.24,107334.32,0.7284924337341495
ALBANY PARK,100000,135000,0.7407407407407407
LOGAN SQUARE,98418.75,131225,0.75
NORTH LAWNDALE,34301.99,80940,0.42379528045465775
CHATHAM,49407.6,66663,0.7411547635119932
AUSTIN,178379.95,259505.07,0.6873852214139786
MCKINLEY PARK,150000,171000,0.8771929824561403
CALUMET HEIGHTS,121092.4,161456.53,0.7500000154840438
NORTH PARK,9927.5,19855,0.5
NORTH CENTER,150000,328129.87,0.45713607237280773
HYDE PARK,49752.54,99505.07,0.5000000502486959
WEST GARFIELD PARK,48548.25,65753.19,0.7383406037030295
IRVING PARK,86362.51,115150.01,0.75000002171081
UPTOWN,50000,106266.54,0.4705149899488588
JEFFERSON PARK,22767.97,30357.29,0.750000082352542
HUMBOLDT PARK,100000,257881.4,0.38777515555600367
NORTH LAWNDALE,38914.5,77829,0.5
EDGEWATER,150000,232835.2,0.6442324871840683
HUMBOLDT PARK,69015.38,113050.54,0.6104825328565437
UPTOWN,122225,244450,0.5
NORTH CENTER,14142.45,56569.79,0.25000004419319927
WEST RIDGE,97927.5,138200,0.7085926193921852
NEAR WEST SIDE,102262.6,232989,0.4389160003261957
NORTH LAWNDALE,58338.55,79087.57,0.737644992759292
WEST LAWN,100000,193604.88,0.5165159060040222
NEAR WEST SIDE,150000,387638.54,0.3869584278178326
NEW CITY,100000,140700,0.7107320540156361
NEAR WEST SIDE,40074.3,44527,0.9
WEST RIDGE,63750,85000,0.75
SOUTH LAWNDALE,8775,11700,0.75
AUSTIN,64243.75,256975,0.25
GARFIELD RIDGE,100000,159550,0.6267627702914447
LOGAN SQUARE,14000,28000,0.5
NEW CITY,60092.98,86400,0.6955206018518519
NEAR WEST SIDE,100000,511165,0.19563154754335685
NEW CITY,141346.91,565525.56,0.24993903016514407
SOUTH CHICAGO,144788.84,219189.46,0.660564791755954
LAKE VIEW,20379.64,27172.85,0.7500000920035992
AVALON PARK,43390,75000,0.5785333333333333
