PROJECT NAME,APPLICANT NAME,ADDRESS NUMBER,ADDRESS NUMBER (HIGH),STREET DIRECTION,STREET NAME,STREET TYPE,WARD,COMMUNITY AREA,TIF DISTRICT,APPROVAL DATE,COMPLETION DATE,PROPERTY TYPE,PROJECT DESCRIPTION,INCENTIVE AMOUNT,TOTAL PROJECT COST,JOBS CREATED: ASPIRATIONAL,JOBS RETAINED: ASPIRATIONAL,LOCATION
Il K. Chong,Il K. Chong,3009,3019,W,Lawrence,Ave,33,Albany Park,Lawrence/Kedzie,04/12/2016,01/23/2017,Commercial,"remove and replace existing upper-floor, alley-facing windows with glass block replacements (10 locations);  tuck point the south and east exterior elevations and replace damaged brick as needed; furnish and install forty-five (45) 14"" x 21"" granite panels at facade elevation knee wall; demolition at second floor, demolish doors, and remove existing façade knee wall granite tiles; furnish and install a new natural gas meter and gas service lines at second floor; furnish and install a new heater unit at second floor; furnish and install new gas service line and a new heater for first floor;  construct a new approx. 225 sq. ft. office room at second floor including framing, insulation, drywall, and a new door; remove and replace a lavatory sink and two (2) faucets at second floor; electrical improvements (install new 100 amp service including meter and circuit breaker panel; furnish and install four (4) new light switches, ten (10) new electrical outlets, and five (5) new lights at the second floor); install approx. 2,500 sq. ft. of new insulation at 2nd floor ceiling; fix/patch ceiling insulation covers at 2nd floor ceiling where needed; tuck point the interior masonry walls as needed; construct 19' x 8' demising wall at the second floor; furnish and install one (1) new interior door and two (2) new exterior doors; and install protective steel bars at rear exterior to protect electrical system apparatus from damage.  Address range is 3009-19 W. Lawrence Ave.",97500,130000,0,10,POINT (-87.704233978 41.968230019)
Chatham Business Center LLC,Joseph Campbell,753,,E,79th,St,6,Chatham,87th/Cottage Grove,,04/24/2008,Landlord,"signs, awnings, replace bars on windows with rolling interior shutters",19873,39746,,,POINT (-87.605727002 41.751019997)
Accurate Imports Inc.,Oscar Montoya,4329,,W,Addison,St,30,Irving Park,Portage Park,11/10/2022,02/13/2023,General Commercial,"roofing work, plumbing, masonry work, and HVAC improvements., exterior renovations including roofing repairs, removal of roof and installation of 3” insulation and Modified Bitumen Membrane, flashing around all the penetration, vents, and drains with TPO modified bitumen around the parapet wall with modified bitumen membranes, masonry work including tuckpointing coping, south and west side wall, west side replace glass block window with support lintels on 1st and 2nd floor, south side replacement of gutter and down spout. Interior renovations including plumbing work to re-design sewer line system replacement; and electrical upgrades including installing HVAC supply line and installing 5 exterior security lights",90360,100400,0,2,POINT (-87.736434987 41.945925021)
2545 W. North LLC,Daniel Holtzman,2545,,W,North,Ave,1,West Town,Humboldt Park,07/01/2021,01/10/2022,Mixed-Use: Retail and Residential,"removal of the exterior door and replacement with a new glass commercial door; install four (4) gooseneck lighting to front exterior; relocation of plumbing connections in the ceiling, installation of new plumbing fixtures and tile for restroom and kitchen, and installation of a new drain tile system with sump pump in the basement; electrical work including the installation of new recessed lights and outlets; removal of the existing flooring and replacement with a new concrete slab in the commercial space and laminated flooring; HVAC work including the installation of a 95% efficient furnace and air conditioning unit with associated ductwork;  framing work for the restroom and kitchen area; installation of new interior doors and baseboards, kitchen cabinetry and countertops; new insulation; new drywall; finishes and painting.",100000,135700,0,1,POINT (-87.691439003 41.909976002)
Albany Steel & Brass,David Lebovitz,1913,,W,Grand,Ave,26,West Town,Kinzie Industrial Corridor,,06/12/2009,Industrial,"purchase property,",149010,460000,,,POINT (-87.67503302 41.890593018)
John Baethke & Son Plumbing Inc.,John William Baethke III,3511,,N,Cicero,Ave,30,PORTAGE PARK,Belmont/Cicero,02/22/2022,10/27/2023,General Commercial,renovations to an existing plumbing company,150000,629332.17,4,12,POINT (-87.746577006 41.945016003)
Chicago Press Corporation,Mitchell Harrison,1112,,N,Homan,Ave,26,Humboldt Park,Division/Homan,03/25/2014,01/14/2015,Industrial,"roofing repairs to main roof, south warehouse roof, chemical room roof, and loading dock roof; masonry repairs; and install a 400 amp electrical panel on the west wall",16212.99,40156,0,36,POINT (-87.712053036 41.901338995)
Jero Medical Equipment & Supplies,Obie Wordlaw,4108,,W,Division,St,37,Humboldt Park,Chicago Central Park,03/03/2009,08/17/2010,Industrial,"Complete Renovation, Complete Renovation",62796.41,258764.82,,,POINT (-87.729501979 41.902897987)
Zberry Inc,Zenzile Powell,1368.5,,E,53rd,St,4,Hyde Park,53rd Street,05/26/2010,06/03/2011,Commercial,"storefront, HVAC, electrical, plumbing, floor, signage, awning, storefront, HVAC, electrical, plumbing, floor, signage, awning",69500,135203,,,POINT (-87.625598918 41.798069266)
"Eden in Chicago, LLC",Jodi Fyfe,1748,,W,Lake,St,27,Near West Side,Kinzie Industrial Corridor,02/04/2020,06/30/2020,General Commercial,"removal of existing glass block windows, cut and remove all brick and block as required for new loading dock openings, clean existing masonry and add bricks after loading dock is installed, seal masonry; new doors for main entrance and loading dock; furnish and install yellow guard rails; pour concrete for new depressed curb for loading dock area; demolition of portion of 1st floor to create space for new front entrance and loading dock area and installation of structural support and new steel stairway; installation of fire-rated walls and ceiling on 1st floor; disconnect machinery from 1st floor and relocate to 2nd floor; 2nd floor construction of new cooler and processing room; HVAC Work including disconnection and removal of 2 supply ducts, relocation of 1st floor HVAC to 2nd floor; connect electric for 2nd floor processing room and HVAC rewiring; installation of new outlets and lighting for 2nd floor; plumbing work including demolition to existing plumbing fixtures and piping, install new waste and vent piping, relocate and re-pipe existing water piping; architectural and permit fees.",96451.2,205977.83,1,9,POINT (-87.671376206 41.885233913)
"I Love My Bed, LLC",German Carrillo/Marilu Quintanilla,4040,,W,Ogden,Ave,22,North Lawndale,Ogden/Pulaski,10/03/2017,01/14/2019,Commercial,"Masonry work along the north elevation including removal of damaged bricks and replacement with new bricks to match existing, and creating new window openings with lintels. 
, completion of masonry repairs at north elevation with replacement of damaged brick with like-kind replacements and rebuilding of the parapet wall",78812.79,106250.39,2,3,POINT (-87.726123989 41.850882998)
"K Industries, Inc. dba Veg Head",Lynn Kardasz,4064,,N,Lincoln,Ave,47,North Center,Western Avenue (South),06/25/2013,12/19/2013,Commercial,"walk-in cooler (materials and labor), architectural services, rough plumbing for sinks, ice maker supply, and drainage rough electrical to install two outlets and 200 amp service, hardwood flooring, vinyl tile flooring, GC services, demolition, remove and reinstall door, install FRP panels, drywall, and painting",50000,72500.01,3,0,POINT (-87.680207001 41.955829999)
"J May, Inc.",James Mayhercy,3267,,W,Armitage,Ave,26,Logan Square,Fullerton/Milwaukee,05/12/2012,11/15/2012,Commercial,,110760.32,147680.42,12,6,POINT (-87.709661009 41.91708)
"Star-Tech Glass, Inc.",Tom Startek,1835,,N,Major,Ave,29,Austin,Galewood/Armitage,07/20/2019,10/13/2020,Manufacturing,"masonry repairs including removal and replacement of bricks with new common brick on east and north elevations and tuckpointing work on east, north, west and south elevations; installation of new pre-finish metal copings on the north and northeast parapet walls.",150000,310000,30,6,POINT (-87.76833299 41.914359989)
Christy Family Partnership,Nick Christy Georgia Christy,3029,,E,92nd,St,10,South Chicago,Commercial Avenue,,09/22/2009,Landlord,"hvac, electrical, plumbing, interior renovation, ,floor, façade",24789.5,49579,,,POINT (-87.550007965 41.727985983)
"Small Batch, LLC dba Antique Taco Bridgeport",Ashley and Richard Ortiz (Rick),1000,,W,35th,St,11,Bridgeport,35th/Halsted,10/22/2021,02/28/2022,Retail,"new windows and garage doors, ADA compliance improvements, concrete work, new flooring, roofing work, and interior improvements.",132847.04,250133.82,4,20,POINT (-87.651334027 41.830978995)
"C & O Auto Rebuilders, Inc.",Wilbert Williams,10554,,S,Michigan,Ave,9,Roseland,Roseland/Michigan,09/24/2014,05/28/2015,Commercial,painting of north exterior wall; removal and replacement of ceiling panels inside work bay area; insulation installation in areas between roof joists; removal of interior walls and front glass windows in storefront entrance area; installation of new framing to reinforce existing support structure; installation of new bricks in front where windows were previously located; installation of new thermal double pane storefront windows; insallation of ADA-compliant accessibilty ramp at entrance,30375,40500,1,16,POINT (-87.621441981 41.702112011)
"Meskan Management Co., LLC, dba Louis Meskan Brass Foundry (b)",Stephanie Mell,2000,2024,N,Major,Ave,29,Belmont Cragin,Galewood/Armitage,04/17/2018,07/01/2019,Industrial,"Masonry work to east elevation (tuck-pointing and brick replacement as needed; install new steel lintels; install new flashings; remove and replace existing sill system); masonry repairs to south elevation (tuck-pointing and brick replacement as necessary; install new steel lintels; install new flashings; remove and replace existing sill system; fix structural cracks in bottom curb); and masonry repairs to north elevation (tuck-pointing and brick replacement as necessary; install new steel lintels; install new flashings); and architectural work., Remove and replace existing roofing system (demolition, install new baseboards, install new membrane, install new flashings, install new galvanized scupperbox and downspout, apply reflective aluminum coating)., Address range is 2000-24 N. Major Ave.",149674,299348,0,90,POINT (-87.768448995 41.917247009)
